Sample in Buffer,Sample in Window,TRIGGER,design_1_i/probe0_0_1,design_1_i/Rx_0_1,design_1_i/connect_UART_RX_0_data_out[7:0]
230,230,0,1,1,00
231,231,0,1,1,00
232,232,0,1,1,00
233,233,0,1,1,00
234,234,0,1,1,00
235,235,0,1,1,00
236,236,0,1,1,00
237,237,0,1,1,00
238,238,0,1,1,00
239,239,0,1,1,00
240,240,0,1,1,00
241,241,0,1,1,00
242,242,0,1,1,00
243,243,0,1,1,00
244,244,0,1,1,00
245,245,0,1,1,00
246,246,0,1,1,00
247,247,0,1,1,00
248,248,0,1,1,00
249,249,0,1,1,00
250,250,0,1,1,00
251,251,0,1,1,00
252,252,0,1,1,00
253,253,0,1,1,00
254,254,0,1,1,00
255,255,0,1,1,00
256,256,0,1,1,00
257,257,0,1,1,00
258,258,0,1,1,00
259,259,0,1,1,00
260,260,0,1,1,00
261,261,0,1,1,00
262,262,0,1,1,00
263,263,0,1,1,00
264,264,0,1,1,00
265,265,0,1,1,00
266,266,0,1,1,00
267,267,0,1,1,00
268,268,0,1,1,00
269,269,0,1,1,00
270,270,0,1,1,00
271,271,0,1,1,00
272,272,0,1,1,00
273,273,0,1,1,00
274,274,0,1,1,00
275,275,0,1,1,00
276,276,0,1,1,00
277,277,0,1,1,00
278,278,0,1,1,00
279,279,0,1,1,00
280,280,0,1,1,00
281,281,0,1,1,00
282,282,0,1,1,00
283,283,0,1,1,00
284,284,0,1,1,00
285,285,0,1,1,00
286,286,0,1,1,00
287,287,0,1,1,00
288,288,0,1,1,00
289,289,0,1,1,00
290,290,0,1,1,00
291,291,0,1,1,00
292,292,0,1,1,00
293,293,0,1,1,00
294,294,0,1,1,00
295,295,0,1,1,00
296,296,0,1,1,00
297,297,0,1,1,00
298,298,0,1,1,00
299,299,0,1,1,00
300,300,0,1,1,00
301,301,0,1,1,00
302,302,0,1,1,00
303,303,0,1,1,00
304,304,0,1,1,00
305,305,0,1,1,00
306,306,0,1,1,00
307,307,0,1,1,00
308,308,0,1,1,00
309,309,0,1,1,00
310,310,0,1,1,00
311,311,0,1,1,00
312,312,0,1,1,00
313,313,0,1,1,00
314,314,0,1,1,00
315,315,0,1,1,00
316,316,0,1,1,00
317,317,0,1,1,00
318,318,0,1,1,00
319,319,0,1,1,00
320,320,0,1,1,00
321,321,0,1,1,00
322,322,0,1,1,00
323,323,0,1,1,00
324,324,0,1,1,00
325,325,0,1,1,00
326,326,0,1,1,00
327,327,0,1,1,00
328,328,0,1,1,00
329,329,0,1,1,00
330,330,0,1,1,00
331,331,0,1,1,00
332,332,0,1,1,00
333,333,0,1,1,00
334,334,0,1,1,00
335,335,0,1,1,00
336,336,0,1,1,00
337,337,0,1,1,00
338,338,0,1,1,00
339,339,0,1,1,00
340,340,0,1,1,00
341,341,0,1,1,00
342,342,0,1,1,00
343,343,0,1,1,00
344,344,0,1,1,00
345,345,0,1,1,00
346,346,0,1,1,00
347,347,0,1,1,00
348,348,0,1,1,00
349,349,0,1,1,00
350,350,0,1,1,00
351,351,0,1,1,00
352,352,0,1,1,00
353,353,0,1,1,00
354,354,0,1,1,00
355,355,0,1,1,00
356,356,0,1,1,00
357,357,0,1,1,00
358,358,0,1,1,00
359,359,0,1,1,00
360,360,0,1,1,00
361,361,0,1,1,00
362,362,0,1,1,00
363,363,0,1,1,00
364,364,0,1,1,00
365,365,0,1,1,00
366,366,0,1,1,00
367,367,0,1,1,00
368,368,0,1,1,00
369,369,0,1,1,00
370,370,0,1,1,00
371,371,0,1,1,00
372,372,0,1,1,00
373,373,0,1,1,00
374,374,0,1,1,00
375,375,0,1,1,00
376,376,0,1,1,00
377,377,0,1,1,00
378,378,0,1,1,00
379,379,0,1,1,00
380,380,0,1,1,00
381,381,0,1,1,00
382,382,0,1,1,00
383,383,0,1,1,00
384,384,0,1,1,00
385,385,0,1,1,00
386,386,0,1,1,00
387,387,0,1,1,00
388,388,0,1,1,00
389,389,0,1,1,00
390,390,0,1,1,00
391,391,0,1,1,00
392,392,0,1,1,00
393,393,0,1,1,00
394,394,0,1,1,00
395,395,0,1,1,00
396,396,0,1,1,00
397,397,0,1,1,00
398,398,0,1,1,00
399,399,0,1,1,00
400,400,0,1,1,00
401,401,0,1,1,00
402,402,0,1,1,00
403,403,0,1,1,00
404,404,0,1,1,00
405,405,0,1,1,00
406,406,0,1,1,00
407,407,0,1,1,00
408,408,0,1,1,00
409,409,0,1,1,00
410,410,0,1,1,00
411,411,0,1,1,00
412,412,0,1,1,00
413,413,0,1,1,00
414,414,0,1,1,00
415,415,0,1,1,00
416,416,0,1,1,00
417,417,0,1,1,00
418,418,0,1,1,00
419,419,0,1,1,00
420,420,0,1,1,00
421,421,0,1,1,00
422,422,0,1,1,00
423,423,0,1,1,00
424,424,0,1,1,00
425,425,0,1,1,00
426,426,0,1,1,00
427,427,0,1,1,00
428,428,0,1,1,00
429,429,0,1,1,00
430,430,0,1,1,00
431,431,0,1,1,00
432,432,0,1,1,00
433,433,0,1,1,00
434,434,0,1,1,00
435,435,0,1,1,00
436,436,0,1,1,00
437,437,0,1,1,00
438,438,0,1,1,00
439,439,0,1,1,00
440,440,0,1,1,00
441,441,0,1,1,00
442,442,0,1,1,00
443,443,0,1,1,00
444,444,0,1,1,00
445,445,0,1,1,00
446,446,0,1,1,00
447,447,0,1,1,00
448,448,0,1,1,00
449,449,0,1,1,00
450,450,0,1,1,00
451,451,0,1,1,00
452,452,0,1,1,00
453,453,0,1,1,00
454,454,0,1,1,00
455,455,0,1,1,00
456,456,0,1,1,00
457,457,0,1,1,00
458,458,0,1,1,00
459,459,0,1,1,00
460,460,0,1,1,00
461,461,0,1,1,00
462,462,0,1,1,00
463,463,0,1,1,00
464,464,0,1,1,00
465,465,0,1,1,00
466,466,0,1,1,00
467,467,0,1,1,00
468,468,0,1,1,00
469,469,0,1,1,00
470,470,0,1,1,00
471,471,0,1,1,00
472,472,0,1,1,00
473,473,0,1,1,00
474,474,0,1,1,00
475,475,0,1,1,00
476,476,0,1,1,00
477,477,0,1,1,00
478,478,0,1,1,00
479,479,0,1,1,00
480,480,0,1,1,00
481,481,0,1,1,00
482,482,0,1,1,00
483,483,0,1,1,00
484,484,0,1,1,00
485,485,0,1,1,00
486,486,0,1,1,00
487,487,0,1,1,00
488,488,0,1,1,00
489,489,0,1,1,00
490,490,0,1,1,00
491,491,0,1,1,00
492,492,0,1,1,00
493,493,0,1,1,00
494,494,0,1,1,00
495,495,0,1,1,00
496,496,0,1,1,00
497,497,0,1,1,00
498,498,0,1,1,00
499,499,0,1,1,00
500,500,0,1,1,00
501,501,0,1,1,00
502,502,0,1,1,00
503,503,0,1,1,00
504,504,0,1,1,00
505,505,0,1,1,00
506,506,0,1,1,00
507,507,0,1,1,00
508,508,0,1,1,00
509,509,0,1,1,00
510,510,0,1,1,00
511,511,0,1,1,00
512,512,1,1,1,00
513,513,0,1,1,00
514,514,0,1,1,00
515,515,0,1,1,00
516,516,0,1,1,00
517,517,0,1,1,00
518,518,0,1,1,00
519,519,0,1,1,00
520,520,0,1,1,00
521,521,0,1,1,00
522,522,0,1,1,00
523,523,0,1,1,00
524,524,0,1,1,00
525,525,0,1,1,00
526,526,0,1,1,00
527,527,0,1,1,00
528,528,0,1,1,00
529,529,0,1,1,00
530,530,0,1,1,00
531,531,0,1,1,00
532,532,0,1,1,00
533,533,0,1,1,00
534,534,0,1,1,00
535,535,0,1,1,00
536,536,0,1,1,00
537,537,0,1,1,00
538,538,0,1,1,00
539,539,0,1,1,00
540,540,0,1,1,00
541,541,0,1,1,00
542,542,0,1,1,00
543,543,0,1,1,00
544,544,0,1,1,00
545,545,0,1,1,00
546,546,0,1,1,00
547,547,0,1,1,00
548,548,0,1,1,00
549,549,0,1,1,00
550,550,0,1,1,00
551,551,0,1,1,00
552,552,0,1,1,00
553,553,0,1,1,00
554,554,0,1,1,00
555,555,0,1,1,00
556,556,0,1,1,00
557,557,0,1,1,00
558,558,0,1,1,00
559,559,0,1,1,00
560,560,0,1,1,00
561,561,0,1,1,00
562,562,0,1,1,00
563,563,0,1,1,00
564,564,0,1,1,00
565,565,0,1,1,00
566,566,0,1,1,00
567,567,0,1,1,00
568,568,0,1,1,00
569,569,0,1,1,00
570,570,0,1,1,00
571,571,0,1,1,00
572,572,0,1,1,00
573,573,0,1,1,00
574,574,0,1,1,00
575,575,0,1,1,00
576,576,0,1,1,00
577,577,0,1,1,00
578,578,0,1,1,00
579,579,0,1,1,00
580,580,0,1,1,00
581,581,0,1,1,00
582,582,0,1,1,00
583,583,0,1,1,00
584,584,0,1,1,00
585,585,0,1,1,00
586,586,0,1,1,00
587,587,0,1,1,00
588,588,0,1,1,00
589,589,0,1,1,00
590,590,0,1,1,00
591,591,0,1,1,00
592,592,0,1,1,00
593,593,0,1,1,00
594,594,0,1,1,00
595,595,0,1,1,00
596,596,0,1,1,00
597,597,0,1,1,00
598,598,0,1,1,00
599,599,0,1,1,00
600,600,0,1,1,00
601,601,0,1,1,00
602,602,0,1,1,00
603,603,0,1,1,00
604,604,0,1,1,00
605,605,0,1,1,00
606,606,0,1,1,00
607,607,0,1,1,00
608,608,0,1,1,00
609,609,0,1,1,00
610,610,0,1,1,00
611,611,0,1,1,00
612,612,0,1,1,00
613,613,0,1,1,00
614,614,0,1,1,00
615,615,0,1,1,00
616,616,0,1,1,00
617,617,0,1,1,00
618,618,0,1,1,00
619,619,0,1,1,00
620,620,0,1,1,00
621,621,0,1,1,00
622,622,0,1,1,00
623,623,0,1,1,00
624,624,0,1,1,00
625,625,0,1,1,00
626,626,0,1,1,00
627,627,0,1,1,00
628,628,0,1,1,00
629,629,0,1,1,00
630,630,0,1,1,00
631,631,0,1,1,00
632,632,0,1,1,00
633,633,0,1,1,00
634,634,0,1,1,00
635,635,0,1,1,00
636,636,0,1,1,00
637,637,0,1,1,00
638,638,0,1,1,00
639,639,0,1,1,00
640,640,0,1,1,00
641,641,0,1,1,00
642,642,0,1,1,00
643,643,0,1,1,00
644,644,0,1,1,00
645,645,0,1,1,00
646,646,0,1,1,00
647,647,0,1,1,00
648,648,0,1,1,00
649,649,0,1,1,00
650,650,0,1,1,00
651,651,0,1,1,00
652,652,0,1,1,00
653,653,0,1,1,00
654,654,0,1,1,00
655,655,0,1,1,00
656,656,0,1,1,00
657,657,0,1,1,00
658,658,0,1,1,00
659,659,0,1,1,00
660,660,0,1,1,00
661,661,0,1,1,00
662,662,0,1,1,00
663,663,0,1,1,00
664,664,0,1,1,00
665,665,0,1,1,00
666,666,0,1,1,00
667,667,0,1,1,00
668,668,0,1,1,00
669,669,0,1,1,00
670,670,0,1,1,00
671,671,0,1,1,00
672,672,0,1,1,00
673,673,0,1,1,00
674,674,0,1,1,00
675,675,0,1,1,00
676,676,0,1,1,00
677,677,0,1,1,00
678,678,0,1,1,00
679,679,0,1,1,00
680,680,0,1,1,00
681,681,0,1,1,00
682,682,0,1,1,00
683,683,0,1,1,00
684,684,0,1,1,00
685,685,0,1,1,00
686,686,0,1,1,00
687,687,0,1,1,00
688,688,0,1,1,00
689,689,0,1,1,00
690,690,0,1,1,00
691,691,0,1,1,00
692,692,0,1,1,00
693,693,0,1,1,00
694,694,0,1,1,00
695,695,0,1,1,00
696,696,0,1,1,00
697,697,0,1,1,00
698,698,0,1,1,00
699,699,0,1,1,00
700,700,0,1,1,00
701,701,0,1,1,00
702,702,0,1,1,00
703,703,0,1,1,00
704,704,0,1,1,00
705,705,0,1,1,00
706,706,0,1,1,00
707,707,0,1,1,00
708,708,0,1,1,00
709,709,0,1,1,00
710,710,0,1,1,00
711,711,0,1,1,00
712,712,0,1,1,00
713,713,0,1,1,00
714,714,0,1,1,00
715,715,0,1,1,00
716,716,0,1,1,00
717,717,0,1,1,00
718,718,0,1,1,00
719,719,0,1,1,00
720,720,0,1,1,00
721,721,0,1,1,00
722,722,0,1,1,00
723,723,0,1,1,00
724,724,0,1,1,00
725,725,0,1,1,00
726,726,0,1,1,00
727,727,0,1,1,00
728,728,0,1,1,00
729,729,0,1,1,00
730,730,0,1,1,00
731,731,0,1,1,00
732,732,0,1,1,00
733,733,0,1,1,00
734,734,0,1,1,00
735,735,0,1,1,00
736,736,0,1,1,00
737,737,0,1,1,00
738,738,0,1,1,00
739,739,0,1,1,00
740,740,0,1,1,00
741,741,0,1,1,00
742,742,0,1,1,00
743,743,0,1,1,00
744,744,0,1,1,00
745,745,0,1,1,00
746,746,0,1,1,00
747,747,0,1,1,00
748,748,0,1,1,00
749,749,0,1,1,00
750,750,0,1,1,00
751,751,0,1,1,00
752,752,0,1,1,00
753,753,0,1,1,00
754,754,0,1,1,00
755,755,0,1,1,00
756,756,0,1,1,00
757,757,0,1,1,00
758,758,0,1,1,00
759,759,0,1,1,00
760,760,0,1,1,00
761,761,0,1,1,00
762,762,0,1,1,00
763,763,0,1,1,00
764,764,0,1,1,00
765,765,0,1,1,00
766,766,0,1,1,00
767,767,0,1,1,00
768,768,0,1,1,00
769,769,0,1,1,00
770,770,0,1,1,00
771,771,0,1,1,00
772,772,0,1,1,00
773,773,0,1,1,00
774,774,0,1,1,00
775,775,0,1,1,00
776,776,0,1,1,00
777,777,0,1,1,00
778,778,0,1,1,00
779,779,0,1,1,00
780,780,0,1,1,00
781,781,0,1,1,00
782,782,0,1,1,00
783,783,0,1,1,00
784,784,0,1,1,00
785,785,0,1,1,00
786,786,0,1,1,00
787,787,0,1,1,00
788,788,0,1,1,00
789,789,0,1,1,00
790,790,0,1,1,00
791,791,0,1,1,00
792,792,0,1,1,00
793,793,0,1,1,00
794,794,0,1,1,00
795,795,0,1,1,00
796,796,0,1,1,00
797,797,0,1,1,00
798,798,0,1,1,00
799,799,0,1,1,00
800,800,0,1,1,00
801,801,0,1,1,00
802,802,0,1,1,00
803,803,0,1,1,00
804,804,0,1,1,00
805,805,0,1,1,00
806,806,0,1,1,00
807,807,0,1,1,00
808,808,0,1,1,00
809,809,0,1,1,00
810,810,0,1,1,00
811,811,0,1,1,00
812,812,0,1,1,00
813,813,0,1,1,00
814,814,0,1,1,00
815,815,0,1,1,00
816,816,0,1,1,00
817,817,0,1,1,00
818,818,0,1,1,00
819,819,0,1,1,00
820,820,0,1,1,00
821,821,0,1,1,00
822,822,0,1,1,00
823,823,0,1,1,00
824,824,0,1,1,00
825,825,0,1,1,00
826,826,0,1,1,00
827,827,0,1,1,00
828,828,0,1,1,00
829,829,0,1,1,00
830,830,0,1,1,00
831,831,0,1,1,00
832,832,0,1,1,00
833,833,0,1,1,00
834,834,0,1,1,00
835,835,0,1,1,00
836,836,0,1,1,00
837,837,0,1,1,00
838,838,0,1,1,00
839,839,0,1,1,00
840,840,0,1,1,00
841,841,0,1,1,00
842,842,0,1,1,00
843,843,0,1,1,00
844,844,0,1,1,00
845,845,0,1,1,00
846,846,0,1,1,00
847,847,0,1,1,00
848,848,0,1,1,00
849,849,0,1,1,00
850,850,0,1,1,00
851,851,0,1,1,00
852,852,0,1,1,00
853,853,0,1,1,00
854,854,0,1,1,00
855,855,0,1,1,00
856,856,0,1,1,00
857,857,0,1,1,00
858,858,0,1,1,00
859,859,0,1,1,00
860,860,0,1,1,00
861,861,0,1,1,00
862,862,0,1,1,00
863,863,0,1,1,00
864,864,0,1,1,00
865,865,0,1,1,00
866,866,0,1,1,00
867,867,0,1,1,00
868,868,0,1,1,00
869,869,0,1,1,00
870,870,0,1,1,00
871,871,0,1,1,00
872,872,0,1,1,00
873,873,0,1,1,00
874,874,0,1,1,00
875,875,0,1,1,00
876,876,0,1,1,00
877,877,0,1,1,00
878,878,0,1,1,00
879,879,0,1,1,00
880,880,0,1,1,00
881,881,0,1,1,00
882,882,0,1,1,00
883,883,0,1,1,00
884,884,0,1,1,00
885,885,0,1,1,00
886,886,0,1,1,00
887,887,0,1,1,00
888,888,0,1,1,00
889,889,0,1,1,00
890,890,0,1,1,00
891,891,0,1,1,00
892,892,0,1,1,00
893,893,0,1,1,00
894,894,0,1,1,00
895,895,0,1,1,00
896,896,0,1,1,00
897,897,0,1,1,00
898,898,0,1,1,00
899,899,0,1,1,00
900,900,0,1,1,00
901,901,0,1,1,00
902,902,0,1,1,00
903,903,0,1,1,00
904,904,0,1,1,00
905,905,0,1,1,00
906,906,0,1,1,00
907,907,0,1,1,00
908,908,0,1,1,00
909,909,0,1,1,00
910,910,0,1,1,00
911,911,0,1,1,00
912,912,0,1,1,00
913,913,0,1,1,00
914,914,0,1,1,00
915,915,0,1,1,00
916,916,0,1,1,00
917,917,0,1,1,00
918,918,0,1,1,00
919,919,0,1,1,00
920,920,0,1,1,00
921,921,0,1,1,00
922,922,0,1,1,00
923,923,0,1,1,00
924,924,0,1,1,00
925,925,0,1,1,00
926,926,0,1,1,00
927,927,0,1,1,00
928,928,0,1,1,00
929,929,0,1,1,00
930,930,0,1,1,00
931,931,0,1,1,00
932,932,0,1,1,00
933,933,0,1,1,00
934,934,0,1,1,00
935,935,0,1,1,00
936,936,0,1,1,00
937,937,0,1,1,00
938,938,0,1,1,00
939,939,0,1,1,00
940,940,0,1,1,00
941,941,0,1,1,00
942,942,0,1,1,00
943,943,0,1,1,00
944,944,0,1,1,00
945,945,0,1,1,00
946,946,0,1,1,00
947,947,0,1,1,00
948,948,0,1,1,00
949,949,0,1,1,00
950,950,0,1,1,00
951,951,0,1,1,00
952,952,0,1,1,00
953,953,0,1,1,00
954,954,0,1,1,00
955,955,0,1,1,00
956,956,0,1,1,00
957,957,0,1,1,00
958,958,0,1,1,00
959,959,0,1,1,00
960,960,0,1,1,00
961,961,0,1,1,00
962,962,0,1,1,00
963,963,0,1,1,00
964,964,0,1,1,00
965,965,0,1,1,00
966,966,0,1,1,00
967,967,0,1,1,00
968,968,0,1,1,00
969,969,0,1,1,00
970,970,0,1,1,00
971,971,0,1,1,00
972,972,0,1,1,00
973,973,0,1,1,00
974,974,0,1,1,00
975,975,0,1,1,00
976,976,0,1,1,00
977,977,0,1,1,00
978,978,0,1,1,00
979,979,0,1,1,00
980,980,0,1,1,00
981,981,0,1,1,00
982,982,0,1,1,00
983,983,0,1,1,00
984,984,0,1,1,00
985,985,0,1,1,00
986,986,0,1,1,00
987,987,0,1,1,00
988,988,0,1,1,00
989,989,0,1,1,00
990,990,0,1,1,00
991,991,0,1,1,00
992,992,0,1,1,00
993,993,0,1,1,00
994,994,0,1,1,00
995,995,0,1,1,00
996,996,0,1,1,00
997,997,0,1,1,00
998,998,0,1,1,00
999,999,0,1,1,00
1000,1000,0,1,1,00
1001,1001,0,1,1,00
1002,1002,0,1,1,00
1003,1003,0,1,1,00
1004,1004,0,1,1,00
1005,1005,0,1,1,00
1006,1006,0,1,1,00
1007,1007,0,1,1,00
1008,1008,0,1,1,00
1009,1009,0,1,1,00
1010,1010,0,1,1,00
1011,1011,0,1,1,00
1012,1012,0,1,1,00
1013,1013,0,1,1,00
1014,1014,0,1,1,00
1015,1015,0,1,1,00
1016,1016,0,1,1,00
1017,1017,0,1,1,00
1018,1018,0,1,1,00
1019,1019,0,1,1,00
1020,1020,0,1,1,00
1021,1021,0,1,1,00
1022,1022,0,1,1,00
1023,1023,0,1,1,00
